"text","size","pos","neg"
"bad",-43.4022925400499,1194,2800
"worst",-37.1656177621338,192,1590
"waste",-31.0204622239202,80,1077
"awful",-29.1455738559468,128,1110
"terrible",-25.8690395127519,184,971
"worse",-24.3698407624949,200,943
"waste_time",-23.981241933951,30,625
"boring",-23.8476828431384,274,1047
"no",-23.7082504801111,2320,3176
"stupid",-23.5164214371194,188,924
"minutes",-22.2940662622024,577,1390
"nothing",-22.2813519684981,887,1835
"poor",-22.0759424259239,338,1051
"horrible",-21.7560623394367,167,753
"just",-20.9730674866683,3015,3379
"crap",-20.5024941696379,117,648
"so_bad",-20.135624252733,58,534
"acting",-19.9721271641989,1741,2794
"even",-19.9289151706946,2479,3264
"supposed",-19.1059147531813,266,866
"ridiculous",-18.7007190005203,145,656
"plot",-18.5962393103067,1452,2446
"poorly",-18.4436922640228,67,485
"supposed_to",-18.4179498147023,225,776
"script",-18.2562014626598,717,1419
"at_all",-18.1156926729153,488,1139
"lame",-18.0164942494049,67,497
"avoid",-17.3686755762889,118,545
"why",-17.1845258701686,1200,1801
"annoying",-17.1273296441687,178,630
"pointless",-17.0500437015136,47,388
"worst_movie",-16.9123780520147,9,308
"wasted",-16.8177821146302,71,443
"not_even",-16.7407849396528,163,604
"oh",-16.6965407084334,319,803
"money",-16.6767183618443,468,1078
"bad_acting",-16.4300468766707,21,317
"mess",-16.2247997156428,81,468
"least",-16.1088932815696,866,1478
"laughable",-15.9730245622513,39,337
"any",-15.9418622273407,1841,2497
"supposed_to_be",-15.7603699185018,130,524
"dull",-15.4969122305118,127,492
"don't",-15.4009112233054,1978,2706
"if",-15.3315691102967,3158,3670
"cheap",-15.2451290678995,157,537
"badly",-15.2255602711852,88,407
"instead",-14.906213320724,572,1140
"pathetic",-14.7837301527714,63,353
"2",-14.7352286482556,595,1249
"at_least",-14.6710527680909,700,1231
"could",-14.6637093713891,1884,2555
"thing",-14.6468361140971,1214,1929
"don't_waste",-14.6450969463466,8,233
"reason",-14.5707496279058,621,1157
"couldn't",-14.5005425090965,389,871
"unless",-14.4949661204934,141,500
"like",-14.4045625055769,3175,3552
"really_bad",-14.2981202797243,31,287
"off",-14.2194108426917,1551,2047
"bad_movie",-14.1958393416162,58,339
"1",-14.1887997665016,394,1045
"looks_like",-14.1589624666714,158,498
"garbage",-14.0938575221324,62,339
"anything",-13.8701329896833,851,1391
"fails",-13.8502423254056,104,408
"unfortunately",-13.8492133022588,341,763
"or",-13.8433953331805,2822,3296
"sorry",-13.7454904685037,158,495
"4",-13.7118968116965,265,718
"only",-13.6588838115019,2598,3240
"guess",-13.6314657450999,345,744
"worst_movies",-13.6145713213417,3,191
"redeeming",-13.5116077441405,32,256
"didn't",-13.4315926016912,1113,1662
"how_bad",-13.4286094580602,17,232
"looks",-13.397487495842,593,1078
"3",-13.3741110848521,393,919
"to_be",-12.9559354453192,2582,3061
"make",-12.9393787352088,2077,2666
"worse_than",-12.8116283572467,38,256
"so",-12.7872568318583,3201,3477
"worst_film",-12.782314207695,3,169
"sit_through",-12.7713450742761,34,248
"i'm",-12.7091430710068,1169,1608
"even_worse",-12.6584003261928,23,213
"no_sense",-12.6355163974509,36,246
"low",-12.609281313061,464,900
"whatsoever",-12.6058813860389,53,276
"don't_waste_time",-12.593252509285,7,176
"4_10",-12.5829790919397,2,171
"predictable",-12.4863131967639,201,507
"there",-12.480479735082,2805,3241
"not_worth",-12.4784215712185,16,193
"not_funny",-12.4018862545355,18,198
"save",-12.3929983938613,247,597
"3_10",-12.3652363798808,4,164
"decent",-12.336789392284,256,640
"ok",-12.3193754525974,256,534
"would",-12.2361826559803,2410,2941
"worst_movie_ever",-12.148238858781,3,159
"better",-12.1470593404978,1584,2199
"then",-11.9492209463475,1795,2221
"unfunny",-11.9196535511684,15,170
"excuse",-11.8786780947215,78,307
"joke",-11.8418136413672,109,339
"to_make",-11.8234433787526,1001,1522
"painful",-11.8212480356626,85,312
"absolutely_no",-11.8158439058003,35,220
"dumb",-11.776359379305,108,334
"only_good",-11.745903858746,20,189
"sucks",-11.6365219606646,37,215
"half",-11.6363466924731,530,923
"attempt",-11.6239837623978,246,578
"idea",-11.6171662660836,583,974
"nothing_to",-11.6141577229138,127,377
"mean",-11.602079184625,468,796
"actually",-11.572405302063,1179,1656
"to_sit_through",-11.5348028565324,26,193
"guy",-11.5340749214797,664,1029
"don't_even",-11.5298291877947,44,229
"bother",-11.5251736775824,86,308
"none",-11.4510114963544,288,620
"bad_as",-11.4237260479226,49,239
"bunch",-11.3715728824907,201,487
"wooden",-11.3641763163974,49,238
"either",-11.3180453014353,556,930
"do",-11.313416599836,2193,2643
"at_all_costs",-11.3052077839427,7,146
"only_reason",-11.3039289166978,46,231
"apparently",-11.2916010961287,250,495
"be_worst",-11.2604275238457,7,145
"bored",-11.2511768471638,124,362
"money_on",-11.1939262570892,12,157
"bad_but",-11.1609318722836,36,205
"all_costs",-11.116157641438,9,147
"something",-11.0493240877484,1408,1891
"there_no",-11.020463207324,368,733
"bad_that",-10.9994907194535,34,194
"else",-10.9533757678373,608,1027
"someone",-10.9162587673349,631,1017
"hour",-10.9136663079326,313,628
"could_been",-10.8921844928294,243,537
"amateurish",-10.8659711355643,22,171
"or_something",-10.8182309712494,87,270
"wasn't",-10.7986703575377,653,998
"lousy",-10.7975410923097,19,169
"budget",-10.774573440431,431,810
"as_bad",-10.7594636332449,69,261
"trash",-10.7483904322145,80,296
"disappointing",-10.6810478151235,83,296
"embarrassing",-10.6588645589959,23,177
"1_10",-10.658584912207,8,143
"rubbish",-10.6455882926852,31,193
"so_bad_that",-10.6440939361827,7,128
"atrocious",-10.6413616305593,13,153
"unconvincing",-10.6207319352359,14,146
"no_plot",-10.4857903277215,11,134
"disappointment",-10.4778955153882,83,277
"but_just",-10.4633798686213,128,343
"watching",-10.4513882231123,1328,1852
"attempt_at",-10.4479601434768,42,204
"trying",-10.4299909117017,716,1174
"look_like",-10.4141154902189,147,386
"much_better",-10.3205539839097,216,484
"okay",-10.3114118440883,194,402
"waste_money",-10.2819391429573,3,115
"flat",-10.2807465030858,110,345
"movie_just",-10.2503409841115,129,343
"mediocre",-10.2295367724269,70,257
"dreadful",-10.2248465449659,27,176
"wasting",-10.1994325229738,13,136
"bland",-10.1923065322011,42,206
"tried",-10.1843938491301,219,474
"very_bad",-10.1804216025562,27,158
"remotely",-10.171197112534,25,163
"bad_it's",-10.1560228963323,22,160
"as_bad_as",-10.1423574031538,37,190
"piece_crap",-10.1139693990359,4,112
"problem",-10.0899615219073,408,693
"crappy",-10.0421358170201,37,170
"be_funny",-10.0220484863515,35,170
"worst_films",-10.0161855068776,1,101
"pretty",-10.0097671466356,911,1364
"only_thing",-9.96768293488605,137,374
"looked",-9.93275846218618,297,538
"1_out",-9.92849478321464,2,106
"tedious",-9.91929443423503,34,177
"silly",-9.91572563019038,245,493
"weak",-9.90976159102734,183,393
"should",-9.9049778618272,1456,1868
"that's",-9.89440729212273,932,1328
"to_waste",-9.87825680697675,9,121
"completely",-9.87773733232619,608,875
"effects",-9.87113734354574,616,976
"acting_bad",-9.8630428803067,10,125
"dialogue",-9.84965224420366,427,747
"painful_to",-9.84349670720665,17,140
"2_10",-9.83809847635488,3,116
"that_bad",-9.77560477905408,63,224
"fake",-9.77320853386994,107,314
"stinker",-9.75887496806233,5,108
"bad_movies",-9.75064769169533,14,145
"costs",-9.73146500040648,37,177
"bad_film",-9.72350899591513,28,154
"only_good_thing",-9.68010483205101,1,96
"as_if",-9.66863352017596,287,519
"doesn't_even",-9.64167192145687,35,176
"miserably",-9.63060345966997,13,131
"just_bad",-9.62728512060567,5,107
"would_been",-9.62425930235541,239,498
"seriously",-9.59010134849381,285,528
"failed",-9.57491942930818,94,269
"there's",-9.57257974723555,772,1080
"can't",-9.535703877067,1065,1487
"incoherent",-9.52367740356977,9,119
"not_good",-9.47260851299411,56,208
"forgettable",-9.4363894217884,25,150
"doesn't",-9.4218599394448,1238,1617
"1_out_10",-9.40771402775935,2,96
"unwatchable",-9.31301732039719,6,101
"special_effects",-9.25589496404496,327,590
"maybe",-9.25044247050202,709,1036
"wrong",-9.2280264329847,572,811
"stay_away",-9.20719026590409,28,144
"10_minutes",-9.20452932631573,26,150
"write",-9.19949708614871,174,388
"just_plain",-9.18909078360629,75,231
"if_want",-9.18667389658662,187,395
"ever_seen",-9.18061915988017,450,726
"worst_movies_ever",-9.15877484452518,2,89
"pile",-9.15550109168779,26,143
"some_kind",-9.15193277204238,74,213
"it's_just",-9.12675334973221,179,396
"embarrassed",-9.11129961290433,20,125
"insult",-9.10538410336221,31,157
"rip_off",-9.0979779464268,38,167
"seemed",-9.09517831112016,391,613
"wouldn't",-9.08545124947098,325,571
"to_sit",-9.07983116083561,76,235
"let's",-9.07548907689901,169,361
"so_bad_it's",-9.06212109562351,11,113
"uninteresting",-9.06124881380533,23,134
"there_nothing",-9.06011495279552,80,232
"existent",-9.03870163386845,17,129
"2_out_10",-9.03619480130213,2,87
"pretty_bad",-9.01773972245993,13,124
"4_out_10",-8.98007451129637,2,86
"movie_so_bad",-8.98007451129637,2,86
"avoid_at",-8.97253418393692,0,80
"unbelievable",-8.95946725542209,94,257
"obviously",-8.95776996166189,369,617
"rest",-8.95394102717931,580,885
"seconds",-8.91629121820737,63,212
"just_didn't",-8.90932412727419,36,145
"drivel",-8.9050742918924,10,107
"low_budget",-8.88189651536118,234,474
"basically",-8.86810990454278,270,492
"non_existent",-8.86600393732893,17,121
"3_out_10",-8.8589578587273,0,78
"irritating",-8.85430405099981,53,171
"horribly",-8.8432435769791,40,158
"why_did",-8.84027606835592,51,165
"flick",-8.83716377157028,352,592
"random",-8.81193172891633,75,211
"avoid_at_all",-8.8016339399464,0,77
"looked_like",-8.79783992756007,63,194
"4_out",-8.7978081175954,5,91
"except",-8.78883270208821,358,615
"boredom",-8.77118564432373,16,120
"poorly_written",-8.76414386511253,5,90
"terrible_movie",-8.73580676547112,3,83
"avoid_at_all_costs",-8.68587922075699,0,75
"hoping",-8.68029780592669,107,271
"utter",-8.67863626239866,47,176
"some_sort",-8.67232165838621,74,215
"uninspired",-8.65573681542759,22,126
"to_be_funny",-8.65232594513001,21,121
"0",-8.64745288096368,15,125
"time_money",-8.63559129996343,11,101
"way_too",-8.62604212263909,64,195
"junk",-8.61442250458077,28,143
"mildly",-8.60550671988522,30,133
"no_reason",-8.59774385649335,37,151
"in_movie",-8.57991592185055,936,1266
"clichéd",-8.53131615519311,32,134
"dialog",-8.52154486036457,215,415
"whole",-8.51715440031323,999,1304
"painfully",-8.51288862855239,38,153
"rent",-8.51146780017794,216,392
"awful_movie",-8.5112561991947,3,80
"bottom",-8.50475229677331,110,278
"insult_to",-8.50114592002592,12,107
"trying_to",-8.4949541739957,674,1054
"tried_to",-8.48620445325284,157,340
"god_awful",-8.45189513458255,4,80
"sequel",-8.44483093612149,183,331
"honestly",-8.44105164777213,113,281
"to_be_worst",-8.43021813303153,3,79
"enough",-8.40371753685462,1037,1383
"movie_bad",-8.40211210978383,15,103
"paid",-8.4015754320659,96,233
"spent",-8.38979863264206,167,344
"2_out",-8.38758898914491,29,136
"get",-8.37434094032142,2257,2626
"saying",-8.35386574512805,290,527
"stupidity",-8.33811136180195,23,138
"sit",-8.33246635395838,238,431
"been",-8.28305728455607,2166,2585
"thinking",-8.27368479614932,379,622
"make_movie",-8.27367663257974,96,242
"plain",-8.26897493807458,143,346
"so_stupid",-8.2670598535931,5,81
"horrendous",-8.25937315298621,16,107
"premise",-8.25430238025419,197,401
"5",-8.25203819119961,294,560
"worst_movie_ever_seen",-8.25138608248572,2,73
"horrid",-8.23324147721879,11,95
"movie_terrible",-8.23192999977016,2,73
"idiotic",-8.22899519099357,19,108
"lacks",-8.21811972684557,76,223
"awful_film",-8.21041226076361,0,67
"barely",-8.20429320347481,143,302
"sucked",-8.20422122681412,52,171
"effort",-8.20410747481336,225,449
"yeah",-8.20194095201198,132,286
"terrible_acting",-8.18903774393026,3,75
"it's_not_even",-8.17533813752122,6,83
"nowhere",-8.1741694718605,121,269
"total",-8.1722475755837,180,375
"inept",-8.1619079328211,31,130
"minutes_life",-8.15044171984244,4,77
"3_out",-8.14907102588291,5,80
"what_waste",-8.14514194688674,0,66
"believe",-8.13311579353166,805,1120
"complete_waste",-8.11841831757146,3,73
"mst3k",-8.10758562758158,9,83
"90_minutes",-8.10325063810874,31,136
"that's_about",-8.09585885713632,16,105
"any_characters",-8.09098661638299,9,89
"whole_thing",-8.07179446956516,96,253
"5_minutes",-8.05989895923314,16,104
"inane",-8.05270790904992,7,89
"movie_ever",-8.0270771496826,133,289
"can't_even",-8.01013684066951,26,121
"cheesy",-8.00144048121472,187,362
"shallow",-7.9993424135958,55,160
"god",-7.9809181974672,245,484
"not_recommend",-7.97188038491041,11,91
"did",-7.97113298413226,1614,1993
"come_on",-7.96706239342987,72,211
"cliché",-7.96607605293879,84,201
"rented",-7.96590725618464,86,231
"worst_movie_i've",-7.95895493153393,1,66
"just_awful",-7.95895493153393,1,66
"painful_to_watch",-7.95640992277882,12,93
"just_not",-7.94951628139648,58,181
"appalling",-7.94826650575061,18,105
"lines",-7.9338380200112,482,723
"not_waste",-7.93181827565134,4,73
"that_supposed",-7.92778140613361,11,91
"sat_through",-7.91374756778773,9,84
"supposedly",-7.91073656109194,93,237
"don't_bother",-7.91001226360236,19,108
"far_worst",-7.89530180673643,1,65
"by_far_worst",-7.89530180673643,1,65
"makes_no_sense",-7.89529229297879,13,95
"point",-7.89244404450497,869,1206
"fails_to",-7.87903203062907,55,169
"can't_believe",-7.87133044157229,51,161
"that_supposed_to",-7.86681986837284,11,90
"if_want_to",-7.858632233327,122,279
"rip",-7.84917766983786,86,205
"neither",-7.847239140677,154,325
"i'm_sorry",-7.83578730284698,19,104
"that_movie",-7.82894979528831,328,531
"laughably",-7.82696192607632,8,81
"original",-7.82552500322123,791,919
"hours_life",-7.81351849520442,4,70
"acting_terrible",-7.81089573455389,6,76
"good_thing",-7.79995079173206,81,218
"rest_movie",-7.79677360884469,43,147
"worthless",-7.78104406451514,14,92
"because",-7.78032100764214,1925,2406
"endless",-7.77937780801735,57,164
"hell",-7.77533059305601,290,523
"nothing_more",-7.75216601162052,76,196
"disappointed",-7.74995725258811,302,512
"utterly",-7.74955381673924,104,240
"just_isn't",-7.73741073453026,13,89
"isn't",-7.72907083803884,902,1205
"shoot",-7.72820704385183,111,257
"some_worst",-7.71132107988164,4,70
"minutes_into",-7.68281987781934,14,92
"even_remotely",-7.67701541621111,5,72
"holes",-7.6727324061837,79,236
"to_do_with",-7.66625019135704,172,326
"where_to",-7.6557593731751,24,119
"to_make_movie",-7.65536588657042,41,145
"with_no",-7.6491403680105,208,389
"avoid_movie",-7.64559519316212,2,64
"no_real",-7.64015239831201,60,180
"gore",-7.63629818034092,218,402
"would_be",-7.63499057805763,767,1090
"asleep",-7.63476904882254,49,148
"pretentious",-7.62295452931939,50,157
"worst_film_ever",-7.62170937437384,2,63
"even_that",-7.62071942491346,26,114
"going",-7.60863681619771,1247,1611
"to_do",-7.60766316763637,808,1118
"truly_awful",-7.58785478840801,2,61
"lack",-7.5710540128553,308,516
"care",-7.56837912434868,420,667
"obvious",-7.5559614157409,316,574
"piece_garbage",-7.55184713203387,2,61
"mystery_science",-7.55034601939128,3,64
"fast_forward",-7.54067101704527,20,102
"nudity",-7.53202586581993,147,283
"what_hell",-7.52890117458454,28,115
"straight_to",-7.52692687261681,36,130
"with_bad",-7.52169186150804,23,109
"on_on",-7.5192669094937,43,120
"only_redeeming",-7.51473218118637,1,59
